p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
5.202,-21.023,-32.259,7.914,-78.151,-36.216,-7.312,2.872,-36.084,-3.692,-96.699,-34.47
5.261,-21.052,-32.288,7.904,-78.165,-36.214,-7.311,2.868,-36.085,-3.674,-96.714,-34.474
5.353,-21.035,-32.328,7.907,-78.187,-36.184,-7.319,2.866,-36.084,-3.681,-96.709,-34.476
5.342,-21.05,-32.355,7.923,-78.186,-36.176,-7.308,2.859,-36.087,-3.674,-96.724,-34.468
5.394,-21.083,-32.388,7.925,-78.182,-36.171,-7.302,2.867,-36.089,-3.642,-96.743,-34.45
5.462,-21.103,-32.388,7.937,-78.191,-36.173,-7.299,2.872,-36.094,-3.614,-96.738,-34.458
5.462,-21.136,-32.404,7.919,-78.175,-36.179,-7.302,2.874,-36.1,-3.601,-96.741,-34.453
5.486,-21.146,-32.438,7.921,-78.173,-36.177,-7.294,2.874,-36.105,-3.609,-96.725,-34.467
5.574,-21.138,-32.475,7.923,-78.171,-36.169,-7.273,2.869,-36.105,-3.609,-96.73,-34.462
5.62,-21.176,-32.48,7.935,-78.167,-36.169,-7.261,2.871,-36.105,-3.574,-96.746,-34.453
5.645,-21.234,-32.507,7.928,-78.163,-36.166,-7.268,2.869,-36.105,-3.539,-96.755,-34.451
5.688,-21.286,-32.538,7.913,-78.161,-36.173,-7.278,2.871,-36.107,-3.542,-96.756,-34.456
5.687,-21.307,-32.576,7.901,-78.155,-36.172,-7.295,2.879,-36.107,-3.565,-96.749,-34.46
5.726,-21.35,-32.602,7.902,-78.149,-36.175,-7.308,2.878,-36.104,-3.605,-96.735,-34.463
5.741,-21.36,-32.614,7.903,-78.149,-36.172,-7.322,2.873,-36.102,-3.594,-96.751,-34.444
5.798,-21.388,-32.652,7.888,-78.135,-36.181,-7.334,2.873,-36.098,-3.627,-96.74,-34.451
